#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
#
#   Environmental Data for
#   ACCESS_NH3 simulations
#
#   xa    - NH3 at Zhi (ppbv)               ppfd  - photosynthetic photon flux (umol/m2-s)
#   tak   - air temp at Zhi (K)             nrad  - net solar radiation (W/m2)
#   ts05k - soil temp at 2cm (K)            ustar - friction velocity (m/s)
#   ts55k - soil temp at 55cm (K)           lewm2 - latent heat flux (W/m2)
#   pmb   - air pressure (mbar)             hwm2  - sensible heat flux (W/m2)
#   ubar  - mean wind speed at Zhi (m/s)    gwm2  - soil heat flux (W/m2)
#   rh    - relative humidity (%)           soilm - volumetric soil moisture (m3/m3)
#
#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
Coweeta 2015/08/08 - 2015/08/10
#
#  date     time        xa           tak         ts05k        ts55k         pmb         ubar          rh          ppfd         nrad         ustar        lewm2        hwm2         gwm2         soilm    
2015-08-08 00:00:00  0.00000e+00  2.90858e+02  2.92490e+02  2.91680e+02  9.30391e+02  9.06981e-01  9.43826e+01  0.00000e+00 -5.22397e+01  1.03009e-01  4.48159e+00  2.35823e+00  2.19162e-01  1.28139e-01
2015-08-08 01:00:00  0.00000e+00  2.90373e+02  2.92370e+02  2.91650e+02  9.30229e+02  5.61751e-01  9.52352e+01  0.00000e+00 -4.44128e+01  8.83717e-02 -6.17898e+00 -4.61861e+00 -1.54772e-01  1.28148e-01
2015-08-08 02:00:00  0.00000e+00  2.90074e+02  2.92260e+02  2.91660e+02  9.30213e+02  5.57478e-01  9.59735e+01  0.00000e+00 -3.47263e+01  8.24483e-02 -5.54371e-02 -1.64910e+00 -5.34269e-01  1.28158e-01
2015-08-08 03:00:00  0.00000e+00  2.89719e+02  2.92150e+02  2.91670e+02  9.30395e+02  6.44413e-01  9.55421e+01  0.00000e+00 -2.38233e+01  9.47477e-02 -5.70566e+00 -2.08688e+00 -8.36694e-01  1.28169e-01
2015-08-08 04:00:00  0.00000e+00  2.90229e+02  2.92050e+02  2.91660e+02  9.30554e+02  6.34568e-01  9.53297e+01  0.00000e+00 -1.58655e+01  1.02003e-01 -3.68743e+00 -6.88977e+00 -1.10805e+00  1.28178e-01
2015-08-08 05:00:00  0.00000e+00  2.90670e+02  2.91990e+02  2.91710e+02  9.31062e+02  7.55601e-01  9.51798e+01  1.41280e+00 -7.38908e-01  1.49547e-01  1.74849e+01  3.08181e+00 -1.31544e+00  1.28192e-01
2015-08-08 06:00:00  0.00000e+00  2.91424e+02  2.91980e+02  2.91750e+02  9.32038e+02  5.53396e-01  9.41434e+01  3.41787e+01  1.87511e+01  1.28003e-01  4.05686e+01  2.55919e+01 -1.29817e+00  1.28202e-01
2015-08-08 07:00:00  0.00000e+00  2.92991e+02  2.91990e+02  2.91780e+02  9.32784e+02  2.68985e-01  9.34884e+01  1.00864e+02  5.52372e+01  2.63682e-01  4.47287e+01 -6.89012e+00 -1.09671e+00  1.28212e-01
2015-08-08 08:00:00  0.00000e+00  2.94124e+02  2.92080e+02  2.91860e+02  9.32658e+02  4.10600e-01  9.16688e+01  2.13120e+02  1.08541e+02  2.54353e-01  1.22617e+02  1.18552e+02 -7.17320e-01  1.28218e-01
2015-08-08 09:00:00  0.00000e+00  2.95500e+02  2.92210e+02  2.91940e+02  9.32900e+02  6.52526e-01  8.29997e+01  6.33410e+02  2.74877e+02  2.08390e-01  1.22771e+02  1.30628e+02 -1.65309e-01  1.28199e-01
2015-08-08 10:00:00  0.00000e+00  2.97954e+02  2.92390e+02  2.92020e+02  9.32941e+02  1.41013e+00  7.40672e+01  1.53481e+03  6.52262e+02  3.45915e-01  4.04691e+02  1.47289e+02  5.89382e-01  1.28095e-01
2015-08-08 11:00:00  0.00000e+00  2.99488e+02  2.92670e+02  2.92160e+02  9.32273e+02  1.43360e+00  6.85871e+01  1.70939e+03  7.35845e+02  1.84006e-01  2.32834e+02  1.72956e+02  1.58432e+00  1.27871e-01
2015-08-08 12:00:00  0.00000e+00  3.01140e+02  2.92840e+02  2.92130e+02  9.31874e+02  1.20282e+00  5.52114e+01  1.83630e+03  7.87554e+02  3.29293e-01  3.48873e+02  2.36573e+02  2.83750e+00  1.27569e-01
2015-08-08 13:00:00  0.00000e+00  3.01531e+02  2.92920e+02  2.92020e+02  9.31629e+02  7.92000e-01  4.93469e+01  1.72824e+03  7.43137e+02  4.68255e-01  4.61238e+02  1.43314e+02  3.67145e+00  1.27242e-01
2015-08-08 14:00:00  0.00000e+00  3.02024e+02  2.93030e+02  2.91940e+02  9.31658e+02  1.68916e+00  4.45097e+01  1.58522e+03  6.73527e+02  3.68399e-01  2.68972e+02  1.36118e+02  4.34248e+00  1.26900e-01
2015-08-08 15:00:00  0.00000e+00  3.02091e+02  2.93150e+02  2.91860e+02  9.31317e+02  1.53432e+00  4.07526e+01  1.33786e+03  5.52088e+02  2.28706e-01  2.81809e+02  7.82579e+01  4.77246e+00  1.26576e-01
2015-08-08 16:00:00  0.00000e+00  3.00830e+02  2.93180e+02  2.91750e+02  9.31388e+02  1.04699e+00  4.04965e+01  9.32856e+02  3.43805e+02  4.50923e-01 -7.36211e+01  1.72829e+02  4.81103e+00  1.26289e-01
2015-08-08 17:00:00  0.00000e+00  2.98002e+02  2.93230e+02  2.91720e+02  9.31407e+02  1.19267e+00  4.47587e+01  6.40509e+02  1.98978e+02  2.46734e-01  5.26013e+01  3.47320e+01  4.92182e+00  1.26032e-01
2015-08-08 18:00:00  0.00000e+00  2.96823e+02  2.93170e+02  2.91630e+02  9.31606e+02  1.13416e+00  5.84340e+01  1.68968e+02  8.78359e-01  1.82573e-01  6.01628e+00 -2.64095e+01  4.74153e+00  1.25847e-01
2015-08-08 19:00:00  0.00000e+00  2.96003e+02  2.93110e+02  2.91580e+02  9.32336e+02  1.12353e+00  7.30071e+01  1.69113e+01 -3.20782e+01  1.81090e-01 -3.21277e+00 -1.33407e+01  4.24600e+00  1.25735e-01
2015-08-08 20:00:00  0.00000e+00  2.95234e+02  2.93070e+02  2.91600e+02  9.32785e+02  9.88357e-01  8.35496e+01  0.00000e+00 -4.45105e+01  1.68524e-01 -1.67222e+01 -1.47438e+01  3.71713e+00  1.25666e-01
2015-08-08 21:00:00  0.00000e+00  2.94586e+02  2.93030e+02  2.91620e+02  9.33715e+02  9.41588e-01  8.84200e+01  0.00000e+00 -4.65989e+01  6.35229e-02 -5.49613e+00 -3.88503e+00  3.13596e+00  1.25626e-01
2015-08-08 22:00:00  0.00000e+00  2.94179e+02  2.92960e+02  2.91620e+02  9.34005e+02  6.58006e-01  9.17874e+01  0.00000e+00 -4.76511e+01  1.89915e-01 -8.87273e+00 -7.82433e-01  2.41186e+00  1.25595e-01
2015-08-08 23:00:00  0.00000e+00  2.93698e+02  2.92900e+02  2.91650e+02  9.34043e+02  6.74290e-01  9.27688e+01  0.00000e+00 -4.25875e+01  1.23658e-01 -1.87623e+00 -5.22556e+00  2.22498e+00  1.25589e-01
2015-08-09 00:00:00  0.00000e+00  2.93302e+02  2.92830e+02  2.91660e+02  9.33759e+02  7.28733e-01  9.40527e+01  0.00000e+00 -4.83577e+01  1.51837e-01 -4.05826e+00 -1.20204e+01  1.65562e+00  1.25574e-01
