#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
#
#   Environmental Data for
#   ACCESS_NH3 simulations
#
#   xa    - NH3 at Zhi (ppbv)               ppfd  - photosynthetic photon flux (umol/m2-s)
#   tak   - air temp at Zhi (K)             nrad  - net solar radiation (W/m2)
#   ts05k - soil temp at 2cm (K)            ustar - friction velocity (m/s)
#   ts55k - soil temp at 55cm (K)           lewm2 - latent heat flux (W/m2)
#   pmb   - air pressure (mbar)             hwm2  - sensible heat flux (W/m2)
#   ubar  - mean wind speed at Zhi (m/s)    gwm2  - soil heat flux (W/m2)
#   rh    - relative humidity (%)           soilm - volumetric soil moisture (m3/m3)
#
#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
Coweeta 2016 Apr 9-11
#
#  date     time        xa           tak         ts05k        ts55k         pmb         ubar          rh          ppfd         nrad         ustar        lewm2        hwm2         gwm2         soilm    
2016-04-09 00:00:00  0.00000e+00  2.78572e+02  2.82150e+02  2.82890e+02  9.29659e+02  2.28830e+00  5.46696e+01  1.59909e-02 -8.47844e+01  7.83025e-01  3.99925e+00 -6.78046e+01 -3.56836e+00  2.62715e-01
2016-04-09 01:00:00  0.00000e+00  2.78661e+02  2.82130e+02  2.82960e+02  9.29044e+02  2.39896e+00  4.65575e+01  1.42153e-02 -8.89685e+01  6.78464e-01 -2.82306e+00 -7.96470e+01 -4.01548e+00  2.62382e-01
2016-04-09 02:00:00  0.00000e+00  2.78701e+02  2.82060e+02  2.82970e+02  9.28445e+02  2.50663e+00  4.15293e+01  1.66475e-02 -9.00387e+01  8.97837e-01  6.54897e+00 -8.14569e+01 -4.34901e+00  2.62067e-01
2016-04-09 03:00:00  0.00000e+00  2.78710e+02  2.81990e+02  2.82970e+02  9.27971e+02  2.62383e+00  3.85319e+01  1.73026e-02 -8.91565e+01  8.82582e-01  3.36905e+01 -8.19277e+01 -4.58915e+00  2.61753e-01
2016-04-09 04:00:00  0.00000e+00  2.78620e+02  2.81890e+02  2.82940e+02  9.27748e+02  2.75540e+00  3.99592e+01  1.31689e-02 -8.71481e+01  9.34308e-01  2.23882e+01 -8.44508e+01 -4.79805e+00  2.61449e-01
2016-04-09 05:00:00  0.00000e+00  2.78321e+02  2.81870e+02  2.82980e+02  9.27793e+02  2.61469e+00  4.20829e+01  1.35229e-01 -8.36683e+01  9.64233e-01  1.96521e+01 -4.28385e+01 -4.92817e+00  2.61153e-01
2016-04-09 06:00:00  0.00000e+00  2.77934e+02  2.81850e+02  2.83030e+02  9.28577e+02  3.68195e+00  4.27856e+01  4.64269e+01 -6.04774e+01  8.42451e-01  2.78506e+01  5.89370e+01 -5.00216e+00  2.60855e-01
2016-04-09 07:00:00  0.00000e+00  2.77795e+02  2.81750e+02  2.82970e+02  9.29416e+02  3.21919e+00  3.99009e+01  3.49203e+02  9.23782e+01  8.93310e-01 -1.20693e+02  1.81464e+02 -5.08221e+00  2.60566e-01
2016-04-09 08:00:00  0.00000e+00  2.77907e+02  2.81850e+02  2.83110e+02  9.30284e+02  3.27724e+00  2.74575e+01  6.95745e+02  2.99283e+02  1.14056e+00  1.40278e+02  3.32053e+02 -5.03651e+00  2.60305e-01
2016-04-09 09:00:00  0.00000e+00  2.78685e+02  2.82610e+02  2.83840e+02  9.31210e+02  3.77376e+00  9.34924e+00  9.80028e+02  4.92967e+02  6.85800e-01  6.02331e+01  2.63434e+02 -5.06836e+00  2.60029e-01
2016-04-09 10:00:00  0.00000e+00  2.79576e+02  2.82490e+02  2.83720e+02  9.32010e+02  3.30018e+00  1.03263e+01  1.21910e+03  6.44975e+02  6.48072e-01  5.34724e+01  2.84944e+02 -4.88756e+00  2.59741e-01
2016-04-09 11:00:00  0.00000e+00  2.80726e+02  2.82970e+02  2.84040e+02  9.32491e+02  3.24774e+00  1.05695e+01  1.34768e+03  7.50022e+02  1.10266e+00  9.28244e+01  5.02594e+02 -4.20917e+00  2.59401e-01
2016-04-09 12:00:00  0.00000e+00  2.81043e+02  2.82240e+02  2.83220e+02  9.32278e+02  3.08915e+00  1.04954e+01  1.41381e+03  7.99612e+02  8.22908e-01  7.61585e+01  4.03088e+02 -3.05362e+00  2.59068e-01
2016-04-09 13:00:00  0.00000e+00  2.81298e+02  2.82280e+02  2.83080e+02  9.32319e+02  2.83631e+00  9.44663e+00  1.38476e+03  7.79989e+02  5.64149e-01  8.05459e+01  3.51091e+02 -1.21064e+00  2.58731e-01
2016-04-09 14:00:00  0.00000e+00  2.81772e+02  2.82330e+02  2.83060e+02  9.32280e+02  2.84356e+00  8.52942e+00  1.25764e+03  6.96505e+02  6.95169e-01  9.59143e+01  3.39180e+02  2.13631e-01  2.58404e-01
2016-04-09 15:00:00  0.00000e+00  2.81835e+02  2.82450e+02  2.83070e+02  9.32602e+02  2.33410e+00  1.03727e+01  1.03852e+03  5.51983e+02  4.33150e-01  5.50225e+01  3.04705e+02  9.01352e-01  2.58065e-01
2016-04-09 16:00:00  0.00000e+00  2.81245e+02  2.82420e+02  2.82950e+02  9.33158e+02  2.16231e+00  1.28507e+01  7.41928e+02  3.65370e+02  6.45645e-01  5.46205e+01  1.75017e+02  8.65828e-01  2.57749e-01
2016-04-09 17:00:00  0.00000e+00  2.80192e+02  2.82280e+02  2.82770e+02  9.33995e+02  2.25549e+00  1.43929e+01  4.13940e+02  1.60383e+02  6.18109e-01  1.98904e+01 -8.61849e-01  5.61332e-01  2.57451e-01
2016-04-09 18:00:00  0.00000e+00  2.79152e+02  2.82080e+02  2.82540e+02  9.34935e+02  2.17528e+00  1.47509e+01  7.55848e+01 -5.56046e+01  3.75943e-01  5.82413e+00 -4.63431e+01 -2.83399e-01  2.57143e-01
2016-04-09 19:00:00  0.00000e+00  2.78425e+02  2.81970e+02  2.82480e+02  9.35792e+02  1.18520e+00  1.82074e+01  1.22272e+00 -9.43174e+01  4.08753e-01  7.56704e+00 -3.51026e+01 -1.45792e+00  2.56874e-01
2016-04-09 20:00:00  0.00000e+00  2.77929e+02  2.81910e+02  2.82520e+02  9.36499e+02  1.40017e+00  2.04392e+01  3.46184e-02 -9.21877e+01  4.20906e-01  1.29393e+01 -4.93961e+01 -2.50759e+00  2.56603e-01
2016-04-09 21:00:00  0.00000e+00  2.75081e+02  2.81930e+02  2.82670e+02  9.36771e+02  2.27126e+00  2.25156e+01  1.73787e-02 -9.07373e+01  2.41470e-01  1.09395e+01 -2.85557e+00 -3.36922e+00  2.56351e-01
2016-04-09 22:00:00  0.00000e+00  2.74104e+02  2.81630e+02  2.82430e+02  9.37181e+02  1.01445e+00  3.41670e+01  2.38133e-02 -8.04758e+01  1.26673e-01  2.28914e+00 -1.00353e+01 -4.31775e+00  2.55986e-01
2016-04-09 23:00:00  0.00000e+00  2.73168e+02  2.81480e+02  2.82400e+02  9.37270e+02  1.00784e+00  3.93594e+01  4.25131e-02 -7.84065e+01  1.40497e-01  7.57671e+00 -2.62033e+01 -4.52098e+00  2.55897e-01
