#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
#
#   Environmental Data for
#   ACCESS_NH3 simulations
#
#   xa    - NH3 at Zhi (ppbv)               ppfd  - photosynthetic photon flux (umol/m2-s)
#   tak   - air temp at Zhi (K)             nrad  - net solar radiation (W/m2)
#   ts05k - soil temp at 2cm (K)            ustar - friction velocity (m/s)
#   ts55k - soil temp at 55cm (K)           lewm2 - latent heat flux (W/m2)
#   pmb   - air pressure (mbar)             hwm2  - sensible heat flux (W/m2)
#   ubar  - mean wind speed at Zhi (m/s)    gwm2  - soil heat flux (W/m2)
#   rh    - relative humidity (%)           soilm - volumetric soil moisture (m3/m3)
#
#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
Test
#
#  date     time        xa           tak         ts05k        ts55k         pmb         ubar          rh          ppfd         nrad         ustar        lewm2        hwm2         gwm2         soilm    
2016-07-22 00:00:00  0.00000e+00  2.91608e+02  2.92830e+02  2.91670e+02  9.38158e+02  8.21124e-01  8.36459e+01  0.00000e+00 -3.82097e+01  1.44151e-01 -6.23544e+00 -8.54295e+00  1.28440e+00  2.18383e-01
2016-07-22 01:00:00  0.00000e+00  2.91620e+02  2.92750e+02  2.91690e+02  9.38045e+02  7.22801e-01  8.48097e+01  0.00000e+00 -2.73667e+01  1.83007e-01 -1.34141e+01 -1.79682e+01  6.82544e-01  2.18259e-01
2016-07-22 02:00:00  0.00000e+00  2.91412e+02  2.92680e+02  2.91720e+02  9.37833e+02  1.21355e+00  8.50100e+01  0.00000e+00 -1.89753e+01  8.89344e-02 -5.43785e+00 -5.23693e+00  1.87893e-01  2.18156e-01
2016-07-22 03:00:00  0.00000e+00  2.91397e+02  2.92590e+02  2.91750e+02  9.37892e+02  5.82056e-01  8.42779e+01  0.00000e+00 -1.03933e+01  1.72596e-01 -1.16581e+01 -9.20471e+00 -1.83039e-01  2.18069e-01
2016-07-22 04:00:00  0.00000e+00  2.91549e+02  2.92520e+02  2.91760e+02  9.37783e+02  5.94018e-01  8.45158e+01  0.00000e+00 -7.45937e+00  1.49344e-01 -2.49233e+00 -2.86113e+00 -3.83061e-01  2.18001e-01
2016-07-22 05:00:00  0.00000e+00  2.91537e+02  2.92460e+02  2.91790e+02  9.37770e+02  9.80622e-01  8.41761e+01  7.55070e+00  9.77139e-01  2.14636e-01  4.41310e+00  2.34763e+00 -5.11026e-01  2.17939e-01
2016-07-22 06:00:00  0.00000e+00  2.91990e+02  2.92420e+02  2.91800e+02  9.37837e+02  6.61950e-01  8.39436e+01  9.08577e+01  2.96481e+01  1.56349e-01  4.47761e+00  8.29092e+00 -5.39405e-01  2.17880e-01
2016-07-22 07:00:00  0.00000e+00  2.92828e+02  2.92400e+02  2.91840e+02  9.37666e+02  6.60327e-01  8.34685e+01  3.37226e+02  1.37913e+02  2.72399e-01  6.34759e+01  5.35515e+01 -4.83600e-01  2.17821e-01
2016-07-22 08:00:00  0.00000e+00  2.94474e+02  2.92450e+02  2.91910e+02  9.37654e+02  8.94697e-01  8.11691e+01  5.29557e+02  2.03008e+02  3.49778e-01  9.80504e+01  1.22233e+02 -2.80163e-01  2.17757e-01
2016-07-22 09:00:00  0.00000e+00  2.97416e+02  2.92540e+02  2.92000e+02  9.37720e+02  8.55645e-01  7.93570e+01  1.00573e+03  3.42656e+02  1.32150e-01  1.53300e+02  1.48047e+02  1.32630e-01  2.17685e-01
2016-07-22 10:00:00  0.00000e+00  2.99931e+02  2.92640e+02  2.92080e+02  9.37661e+02  9.94452e-01  7.56607e+01  1.60818e+03  5.74431e+02  2.43980e-01  3.19702e+02  1.25477e+02  7.40637e-01  2.17542e-01
2016-07-22 11:00:00  0.00000e+00  3.01635e+02  2.92810e+02  2.92150e+02  9.37270e+02  1.42996e+00  6.41019e+01  1.98923e+03  6.95177e+02  2.84195e-01  4.39743e+02  2.15148e+02  1.71004e+00  2.17204e-01
2016-07-22 12:00:00  0.00000e+00  3.01562e+02  2.92780e+02  2.91970e+02  9.37251e+02  8.78842e-01  5.41820e+01  2.07207e+03  7.38346e+02  3.69216e-01  1.38430e+02  7.32837e+01  2.89100e+00  2.16715e-01
2016-07-22 13:00:00  0.00000e+00  3.01082e+02  2.92790e+02  2.91810e+02  9.36770e+02  1.52676e+00  4.80654e+01  1.17286e+03  3.86519e+02  4.19872e-01  2.11202e+02  4.86270e+01  3.89589e+00  2.16160e-01
2016-07-22 14:00:00  0.00000e+00  3.00064e+02  2.92950e+02  2.91830e+02  9.36032e+02  1.94807e+00  5.72287e+01  1.20128e+03  4.14123e+02  6.25768e-01  1.16738e+02  1.20674e-01  4.61193e+00  2.15673e-01
2016-07-22 15:00:00  0.00000e+00  3.01074e+02  2.92940e+02  2.91700e+02  9.35660e+02  1.46566e+00  6.23133e+01  9.27664e+02  3.18843e+02  3.53586e-01  2.79461e+02  1.13875e+02  5.01025e+00  2.15274e-01
2016-07-22 16:00:00  0.00000e+00  3.00933e+02  2.93190e+02  2.91860e+02  9.35157e+02  1.73432e+00  6.45461e+01  1.39849e+03  4.73685e+02  4.84239e-01  4.67927e+02  3.56487e+01  5.11826e+00  2.14868e-01
2016-07-22 17:00:00  0.00000e+00  2.99571e+02  2.93140e+02  2.91710e+02  9.34708e+02  1.53541e+00  5.86263e+01  6.24859e+02  1.39650e+02  2.51441e-01  1.93343e+02 -3.27790e+00  5.37377e+00  2.14405e-01
2016-07-22 18:00:00  0.00000e+00  2.97538e+02  2.93150e+02  2.91640e+02  9.34808e+02  9.13754e-01  5.97359e+01  3.42163e+02  9.77110e-01  1.49284e-01  1.21976e+01  5.22276e+00  5.26793e+00  2.14053e-01
2016-07-22 19:00:00  0.00000e+00  2.95975e+02  2.93130e+02  2.91620e+02  9.35104e+02  1.17586e+00  7.03225e+01  2.49918e+01 -4.90755e+01  1.63669e-01 -2.73259e+01 -1.80410e+01  4.87251e+00  2.13790e-01
